PLAYER_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PIE,SEASON
202714,102.4,100.1,2.3,0.298,3.16,30.5,0.01,0.086,0.048,9.6,0.469,0.489,0.101,14-15
204021,100.0,100.0,0.0,0.5,0.0,33.3,0.0,0.0,0.0,0.0,0.5,0.5,0.304,14-15
203524,100.7,104.4,-3.7,0.121,1.6,18.0,0.029,0.103,0.066,11.2,0.45,0.507,0.071,14-15
203915,95.2,103.1,-7.9,0.394,3.15,32.4,0.008,0.1,0.05,10.3,0.337,0.394,0.074,14-15
201150,101.3,104.4,-3.1,0.11,1.44,14.8,0.024,0.173,0.1,10.2,0.459,0.478,0.068,14-15
201939,114.7,98.5,16.3,0.358,2.49,26.4,0.022,0.1,0.063,10.6,0.594,0.638,0.178,14-15
2581,103.1,99.9,3.2,0.264,2.77,39.1,0.01,0.073,0.043,14.1,0.491,0.507,0.07,14-15
200779,96.4,112.6,-16.1,0.088,2.2,15.1,0.009,0.1,0.052,6.8,0.563,0.554,0.045,14-15
203500,105.3,103.5,1.8,0.056,0.67,10.1,0.107,0.179,0.142,15.2,0.544,0.549,0.083,14-15
203933,96.7,105.2,-8.5,0.069,0.93,9.2,0.061,0.071,0.066,9.9,0.54,0.551,0.084,14-15
201959,104.7,103.0,1.7,0.071,0.92,9.6,0.095,0.132,0.114,10.4,0.502,0.545,0.1,14-15
204028,101.5,105.3,-3.8,0.059,0.88,10.1,0.114,0.201,0.155,11.5,0.575,0.583,0.093,14-15
2419,100.5,105.0,-4.5,0.109,2.66,16.6,0.036,0.114,0.074,6.3,0.479,0.504,0.089,14-15
203093,105.4,100.6,4.8,0.067,0.97,8.7,0.088,0.143,0.117,8.9,0.55,0.567,0.113,14-15
203082,109.7,109.0,0.6,0.063,1.25,9.2,0.016,0.095,0.055,7.4,0.507,0.519,0.066,14-15
200757,105.8,94.6,11.2,0.116,1.97,19.3,0.056,0.169,0.114,9.8,0.468,0.506,0.106,14-15
201152,103.4,107.9,-4.5,0.118,1.48,12.8,0.052,0.121,0.086,8.7,0.486,0.507,0.097,14-15
203080,99.7,99.3,0.4,0.07,0.56,8.3,0.106,0.25,0.176,14.8,0.485,0.502,0.113,14-15
201168,109.6,97.7,11.9,0.11,1.3,15.8,0.092,0.155,0.124,12.1,0.558,0.601,0.115,14-15
1495,106.9,100.2,6.8,0.166,1.76,17.4,0.081,0.236,0.161,9.9,0.513,0.56,0.156,14-15
204025,98.6,100.8,-2.2,0.361,2.4,38.7,0.023,0.089,0.056,16.1,0.385,0.406,0.057,14-15
203501,97.5,108.6,-11.1,0.134,1.55,12.8,0.007,0.088,0.047,8.3,0.474,0.512,0.079,14-15
202389,110.3,103.6,6.7,0.04,0.47,6.6,0.1,0.186,0.143,13.9,0.557,0.594,0.098,14-15
202699,101.6,107.7,-6.1,0.088,1.08,9.6,0.031,0.154,0.092,8.9,0.512,0.551,0.113,14-15
201962,104.5,102.1,2.4,0.214,2.4,26.4,0.012,0.111,0.064,11.0,0.422,0.45,0.071,14-15
2754,104.6,96.1,8.5,0.081,1.0,12.6,0.065,0.106,0.086,12.6,0.505,0.528,0.087,14-15
2225,107.9,103.1,4.7,0.278,2.29,24.2,0.008,0.059,0.035,10.6,0.508,0.539,0.102,14-15
203503,104.3,102.1,2.2,0.068,1.29,12.3,0.021,0.096,0.06,9.5,0.527,0.55,0.07,14-15
203100,95.5,108.2,-12.7,0.338,1.39,20.0,0.023,0.073,0.047,14.4,0.446,0.494,0.097,14-15
203315,83.8,83.8,0.0,0.111,0.25,9.1,0.0,0.0,0.0,36.4,0.4,0.51,-0.011,14-15
204037,94.8,101.0,-6.2,0.104,1.14,13.5,0.047,0.116,0.081,11.8,0.428,0.451,0.063,14-15
2772,105.5,101.5,4.0,0.112,1.48,15.8,0.026,0.127,0.076,10.7,0.509,0.539,0.095,14-15
202344,102.2,101.2,1.0,0.093,0.94,11.8,0.09,0.167,0.129,12.5,0.518,0.536,0.106,14-15
203504,103.6,105.3,-1.7,0.245,2.65,21.6,0.014,0.077,0.045,8.2,0.43,0.455,0.085,14-15
202684,110.5,104.5,5.9,0.028,0.47,5.4,0.124,0.174,0.149,11.4,0.547,0.58,0.097,14-15
203584,94.3,105.1,-10.8,0.111,1.1,10.3,0.018,0.064,0.039,9.4,0.5,0.515,0.052,14-15
201951,107.3,107.6,-0.3,0.408,3.89,36.0,0.015,0.072,0.042,9.3,0.474,0.526,0.125,14-15
203898,96.0,103.4,-7.3,0.278,1.74,27.9,0.016,0.073,0.043,16.0,0.403,0.411,0.053,14-15
201946,112.6,102.3,10.3,0.029,1.05,7.9,0.106,0.159,0.132,7.5,0.524,0.597,0.074,14-15
204020,96.8,101.5,-4.7,0.115,1.4,16.2,0.023,0.108,0.066,11.5,0.473,0.506,0.083,14-15
203092,100.3,102.3,-2.0,0.106,1.49,12.7,0.081,0.178,0.13,8.5,0.549,0.594,0.127,14-15
201936,109.2,106.0,3.2,0.316,2.12,25.3,0.03,0.127,0.078,11.9,0.477,0.508,0.118,14-15
200748,106.7,115.4,-8.7,0.2,0.0,33.3,0.0,0.0,0.0,0.0,1.0,1.064,0.152,14-15
2199,107.3,102.6,4.7,0.053,0.8,11.3,0.129,0.244,0.188,14.2,0.666,0.697,0.141,14-15
2617,97.3,105.5,-8.2,0.078,1.12,13.0,0.072,0.195,0.132,11.5,0.452,0.488,0.082,14-15
203505,94.7,119.7,-25.0,0.178,1.33,17.4,0.021,0.104,0.055,13.0,0.333,0.342,0.026,14-15
201964,102.0,87.7,14.3,0.019,0.25,4.0,0.04,0.227,0.133,16.0,0.6,0.6,0.071,14-15
203506,101.8,107.8,-6.1,0.188,1.45,17.0,0.02,0.102,0.06,11.8,0.474,0.527,0.099,14-15
1713,99.7,99.2,0.5,0.11,1.84,14.2,0.024,0.096,0.06,7.7,0.417,0.445,0.058,14-15
201961,100.4,104.2,-3.9,0.101,2.1,13.1,0.017,0.105,0.06,6.3,0.485,0.504,0.083,14-15
202325,102.6,109.3,-6.7,0.084,1.43,13.1,0.029,0.116,0.071,9.2,0.48,0.509,0.068,14-15
202083,106.0,99.3,6.8,0.11,1.72,13.4,0.018,0.085,0.052,7.8,0.563,0.586,0.1,14-15
203115,98.7,99.4,-0.7,0.135,1.33,15.1,0.024,0.134,0.077,11.4,0.458,0.503,0.103,14-15
101198,86.7,129.5,-42.8,0.486,2.25,30.5,0.029,0.061,0.044,13.6,0.323,0.336,0.028,14-15
203805,102.2,105.8,-3.6,0.174,2.0,23.5,0.014,0.056,0.035,11.8,0.316,0.347,0.013,14-15
2584,94.1,99.0,-4.9,0.121,1.42,15.6,0.015,0.067,0.041,11.0,0.454,0.477,0.052,14-15
201163,104.7,108.6,-3.9,0.086,1.22,10.5,0.036,0.155,0.093,8.6,0.5,0.523,0.087,14-15
202333,108.8,99.4,9.4,0.048,1.0,9.7,0.022,0.027,0.025,9.7,0.231,0.424,0.0,14-15
203897,98.2,112.4,-14.2,0.25,1.43,22.6,0.014,0.103,0.058,15.8,0.465,0.515,0.079,14-15
2216,107.4,100.6,6.8,0.111,0.98,11.1,0.103,0.23,0.167,11.4,0.491,0.538,0.143,14-15
2585,104.8,97.3,7.5,0.155,1.34,19.5,0.118,0.183,0.15,14.6,0.454,0.506,0.112,14-15
204054,92.4,101.3,-8.9,0.116,1.0,11.9,0.06,0.041,0.051,11.9,0.417,0.435,0.033,14-15
