PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
201581,0.9,0.5,0.4,4.11,4.36,3.86,15-16
1626266,0.2,0.1,0.1,3.82,3.34,4.46,15-16
200755,2.1,1.1,1.0,4.49,4.88,4.11,15-16
2747,2.1,1.1,1.0,4.07,4.22,3.92,15-16
203960,1.2,0.6,0.6,4.42,4.68,4.17,15-16
203210,1.3,0.7,0.6,4.26,4.46,4.06,15-16
201580,0.7,0.4,0.4,4.14,4.32,3.95,15-16
203953,2.4,1.2,1.1,4.45,4.77,4.15,15-16
203109,2.2,1.1,1.1,4.17,4.52,3.85,15-16
1626143,2.0,1.1,0.9,4.11,4.21,4.0,15-16
2037,1.8,0.9,0.8,3.97,4.21,3.72,15-16
2749,1.8,1.0,0.8,4.02,4.45,3.58,15-16
202341,1.1,0.6,0.5,4.43,4.74,4.14,15-16
203516,1.1,0.6,0.5,4.34,4.62,4.05,15-16
201935,2.4,1.3,1.2,3.85,4.14,3.58,15-16
201949,1.1,0.6,0.5,4.18,4.35,3.99,15-16
2592,0.7,0.4,0.3,4.23,4.57,3.84,15-16
203949,0.5,0.3,0.2,4.6,4.92,4.27,15-16
203923,0.5,0.3,0.2,4.26,4.55,4.0,15-16
203099,0.7,0.4,0.3,4.38,4.53,4.22,15-16
201162,1.9,1.0,0.9,4.35,4.89,3.86,15-16
203096,1.5,0.8,0.8,3.89,4.18,3.62,15-16
204067,0.4,0.2,0.2,4.42,4.93,3.97,15-16
1626185,1.0,0.6,0.5,4.38,4.63,4.11,15-16
203950,0.2,0.1,0.1,4.21,4.42,3.99,15-16
101127,2.2,1.2,1.0,4.19,4.52,3.86,15-16
201160,1.1,0.6,0.5,4.31,4.59,4.01,15-16
1891,1.3,0.7,0.6,4.33,4.68,4.0,15-16
201574,0.7,0.4,0.3,4.32,4.53,4.07,15-16
201965,0.4,0.2,0.2,4.25,4.37,4.11,15-16
201145,1.9,1.0,0.9,3.99,4.19,3.79,15-16
