PLAYER_ID,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3A,PULL_UP_PTS,PULL_UP_EFG_PCT,SEASON
2743,0.3,0.8,0.4,0.0,0.6,0.4,13-14
2594,0.8,2.0,0.414,0.5,1.9,0.466,13-14
200768,1.9,5.7,0.336,3.1,4.9,0.428,13-14
203124,0.1,0.3,0.421,0.0,0.2,0.421,13-14
202713,0.4,1.0,0.369,0.2,0.8,0.387,13-14
202681,3.6,8.6,0.42,2.5,8.3,0.48,13-14
200746,2.6,6.5,0.396,0.1,5.1,0.397,13-14
202362,1.1,2.7,0.401,0.6,2.3,0.442,13-14
202498,0.0,0.0,,,0.0,,13-14
202361,0.0,0.3,0.111,0.0,0.1,0.111,13-14
202336,0.0,0.6,0.077,0.0,0.1,0.077,13-14
202730,0.1,0.1,0.625,0.0,0.2,0.625,13-14
2544,2.0,5.6,0.367,2.0,4.7,0.426,13-14
2571,0.3,1.2,0.25,0.1,0.6,0.25,13-14
203485,0.2,0.9,0.25,0.4,0.5,0.271,13-14
200811,0.0,0.0,,,0.0,,13-14
101150,1.2,3.6,0.343,1.6,3.0,0.423,13-14
201601,0.0,0.2,0.182,0.0,0.1,0.182,13-14
2449,0.1,0.2,0.474,0.0,0.2,0.474,13-14
202337,0.4,1.0,0.393,0.2,0.9,0.446,13-14
2557,1.1,2.9,0.386,0.7,2.5,0.426,13-14
2736,1.5,3.5,0.427,0.3,3.1,0.445,13-14
203146,0.5,1.0,0.5,,1.0,0.5,13-14
202952,0.0,0.0,,0.0,0.0,,13-14
202412,0.7,2.0,0.333,0.4,1.6,0.389,13-14
1938,0.7,2.0,0.331,0.9,1.6,0.399,13-14
202705,0.3,1.0,0.278,0.3,0.7,0.333,13-14
201188,0.4,1.0,0.426,0.1,0.9,0.434,13-14
101162,0.3,0.9,0.391,0.0,0.7,0.391,13-14
201158,0.8,1.8,0.452,0.6,1.8,0.497,13-14
202694,0.9,2.4,0.397,0.2,1.9,0.41,13-14
201977,0.7,2.0,0.356,0.8,1.7,0.414,13-14
201596,0.4,1.0,0.373,0.4,0.9,0.44,13-14
202693,1.0,2.3,0.433,0.1,2.0,0.436,13-14
203104,0.2,0.9,0.235,0.2,0.5,0.265,13-14
201578,0.2,0.7,0.328,0.0,0.5,0.328,13-14
101110,0.3,1.2,0.278,0.3,0.7,0.3,13-14
