PLAYER_ID,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON
202322,2.5,1.3,1.1,4.08,4.48,3.69,13-14
202720,1.0,0.5,0.4,4.43,4.75,4.1,13-14
201973,0.9,0.5,0.4,4.45,4.78,4.1,13-14
202685,2.0,1.1,0.9,4.17,4.31,4.01,13-14
202348,1.5,0.8,0.7,4.02,4.34,3.7,13-14
200770,1.7,0.9,0.7,4.47,4.97,3.98,13-14
202706,1.2,0.6,0.6,4.37,4.68,4.07,13-14
201941,1.5,0.8,0.7,4.26,4.5,4.03,13-14
203268,1.2,0.6,0.5,4.39,4.63,4.15,13-14
101181,2.2,1.2,1.0,4.36,4.84,3.87,13-14
2735,0.4,0.2,0.2,4.28,4.37,4.2,13-14
202725,0.7,0.3,0.3,4.08,4.33,3.8,13-14
201177,2.1,1.2,0.9,4.24,4.72,3.74,13-14
2694,1.2,0.6,0.6,3.74,3.98,3.52,13-14
2746,2.2,1.1,1.1,3.77,3.81,3.72,13-14
201950,2.4,1.3,1.1,4.38,4.91,3.88,13-14
202933,0.4,0.2,0.2,4.31,4.58,4.01,13-14
203120,0.6,0.4,0.3,4.33,4.46,4.0,13-14
202695,2.2,1.2,1.0,4.52,4.88,4.17,13-14
2586,0.6,0.3,0.3,3.89,3.75,4.06,13-14
203482,1.5,0.8,0.7,4.36,4.74,3.99,13-14
202689,2.5,1.4,1.1,4.23,4.7,3.73,13-14
203088,2.0,1.1,0.9,4.18,4.73,3.69,13-14
2570,1.3,0.7,0.6,3.99,4.24,3.75,13-14
202702,1.9,1.0,0.9,4.27,4.54,4.01,13-14
203145,1.0,0.5,0.5,4.46,4.81,4.15,13-14
203484,1.4,0.7,0.7,4.26,4.41,4.12,13-14
2030,1.2,0.6,0.6,3.75,3.81,3.7,13-14
201142,2.5,1.3,1.2,3.94,4.31,3.6,13-14
708,1.4,0.7,0.7,4.09,4.35,3.83,13-14
201567,2.4,1.3,1.1,3.91,4.22,3.6,13-14
2755,2.1,1.1,1.0,4.05,4.24,3.85,13-14
202338,0.8,0.4,0.4,4.31,4.57,4.05,13-14
203114,2.1,1.2,1.0,4.27,4.6,3.92,13-14
2550,2.2,1.2,1.0,4.56,4.93,4.16,13-14
202691,2.5,1.3,1.2,4.28,4.68,3.92,13-14
977,1.9,1.1,0.8,3.94,4.42,3.47,13-14
201585,1.2,0.7,0.5,4.29,4.56,4.01,13-14
2743,1.4,0.8,0.6,4.2,4.49,3.91,13-14
2594,2.5,1.3,1.1,4.37,4.77,3.98,13-14
200768,2.4,1.3,1.1,3.99,4.28,3.68,13-14
203124,1.2,0.6,0.5,4.05,4.34,3.75,13-14
202713,2.2,1.1,1.0,4.57,4.85,4.29,13-14
202681,2.5,1.3,1.1,4.2,4.56,3.85,13-14
200746,2.4,1.3,1.1,4.01,4.23,3.78,13-14
202362,2.3,1.2,1.1,3.91,4.01,3.81,13-14
202498,0.6,0.3,0.3,4.41,4.53,4.28,13-14
202361,0.8,0.4,0.3,4.46,4.66,4.25,13-14
202336,1.7,0.9,0.8,4.04,4.34,3.73,13-14
202730,1.2,0.6,0.6,4.27,4.61,3.96,13-14
2544,2.4,1.3,1.2,3.88,4.1,3.66,13-14
2571,1.3,0.7,0.6,4.22,4.56,3.85,13-14
203485,0.7,0.4,0.3,4.84,5.32,4.42,13-14
200811,0.7,0.4,0.3,4.5,4.95,4.06,13-14
101150,1.6,0.9,0.7,3.95,4.35,3.57,13-14
