PLAYER_ID,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,SEASON
202693,40.5,26.8,1.2,1.79,0.55,0.34,3.0,6.2,4.3,13-14
203104,24.0,8.4,2.4,6.08,6.12,0.112,0.2,0.0,0.2,13-14
201578,17.2,10.5,0.5,1.66,0.51,0.377,1.1,1.0,2.6,13-14
101110,34.6,25.7,1.0,1.75,0.91,0.282,0.5,0.4,1.0,13-14
101107,37.5,22.3,1.0,1.56,0.52,0.243,1.6,0.5,2.0,13-14
203486,24.9,15.8,0.7,1.77,0.51,0.301,3.6,0.9,5.7,13-14
2440,39.9,27.8,1.0,1.54,0.46,0.249,1.0,0.4,2.0,13-14
2588,18.2,10.4,0.4,1.45,0.43,0.177,0.3,0.1,0.4,13-14
203521,30.8,17.3,1.8,3.42,3.14,0.153,0.2,0.1,0.4,13-14
203090,25.8,17.3,0.9,2.09,1.3,0.287,0.5,0.2,2.2,13-14
2408,14.5,8.0,0.4,1.64,0.34,0.207,2.5,1.0,3.0,13-14
1897,17.7,10.8,0.7,2.36,1.25,0.27,0.8,1.0,1.2,13-14
203086,13.2,7.2,0.3,1.42,0.28,0.186,1.3,0.2,1.8,13-14
201563,25.2,15.2,0.8,1.9,0.83,0.315,2.1,0.8,1.7,13-14
203487,84.7,28.7,7.0,4.93,4.71,0.197,1.3,0.4,2.9,13-14
203077,24.9,18.8,0.9,2.17,1.39,0.289,0.9,0.4,2.8,13-14
201144,86.8,34.1,7.9,5.49,5.47,0.198,1.2,0.0,1.2,13-14
2399,43.5,34.9,1.3,1.86,0.77,0.26,0.9,0.1,1.4,13-14
200839,17.5,9.6,0.5,1.63,0.47,0.24,0.9,0.8,1.3,13-14
2229,16.0,7.1,1.6,5.88,6.32,0.063,0.1,0.0,0.1,13-14
2034,30.6,23.3,0.9,1.79,0.84,0.231,1.2,0.0,0.6,13-14
203488,20.8,11.7,0.5,1.4,0.3,0.183,1.4,0.6,3.1,13-14
203118,30.6,20.2,0.7,1.38,0.44,0.311,2.3,1.7,3.7,13-14
203101,38.3,19.4,1.1,1.69,0.4,0.211,2.9,3.6,6.7,13-14
203545,13.8,9.1,0.4,1.63,0.37,0.273,1.9,1.1,3.1,13-14
203141,31.5,16.7,0.8,1.48,0.42,0.274,0.5,0.9,1.4,13-14
2590,54.7,20.7,4.6,5.09,5.41,0.178,0.5,0.0,0.4,13-14
101145,71.1,40.3,4.9,4.13,3.64,0.268,1.1,0.6,1.0,13-14
201203,8.3,3.3,0.8,5.45,5.6,0.04,0.3,0.0,0.3,13-14
201986,19.6,12.2,1.1,3.42,3.14,0.192,0.4,0.0,0.8,13-14
101126,36.9,17.9,3.0,4.85,4.84,0.282,0.5,0.0,1.0,13-14
203489,48.1,23.3,3.6,4.44,4.48,0.149,0.5,0.0,0.9,13-14
1737,8.7,5.1,0.2,1.55,0.33,0.179,1.2,0.3,1.6,13-14
203517,10.6,3.8,1.0,5.58,6.09,0.099,0.1,0.0,0.3,13-14
2403,49.6,36.2,1.7,2.02,0.59,0.287,7.0,9.8,5.6,13-14
201979,41.4,14.4,3.8,5.57,5.84,0.118,0.4,0.0,1.0,13-14
2555,31.5,15.8,0.8,1.56,0.46,0.132,2.3,0.2,3.1,13-14
201156,40.5,30.7,2.0,3.01,2.35,0.441,1.3,0.6,1.0,13-14
201587,69.1,44.2,2.5,2.15,1.18,0.189,1.2,0.3,2.1,13-14
201593,39.6,27.4,1.1,1.69,0.49,0.442,6.9,8.0,13.3,13-14
202696,62.6,35.2,1.6,1.52,0.38,0.227,3.7,6.7,8.3,13-14
202708,49.7,20.2,3.8,4.6,4.46,0.129,0.2,0.0,0.4,13-14
201564,40.2,30.0,1.7,2.47,1.79,0.289,1.6,0.2,0.9,13-14
203136,4.4,2.5,0.1,1.68,0.42,0.161,0.3,0.9,1.1,13-14
201600,30.1,13.3,0.7,1.36,0.31,0.194,1.9,1.1,5.4,13-14
201956,32.4,17.2,0.9,1.62,0.73,0.213,0.8,0.2,1.6,13-14
203111,11.5,7.6,0.5,2.64,1.58,0.194,0.1,0.2,0.3,13-14
201785,8.0,6.2,0.3,2.13,0.65,0.188,0.0,0.0,0.8,13-14
203490,11.2,8.9,0.3,1.85,0.87,0.189,0.3,0.1,0.8,13-14
200782,38.8,28.4,1.3,2.07,0.97,0.242,0.8,1.5,3.4,13-14
203143,45.6,17.0,3.6,4.73,5.15,0.084,0.3,0.0,0.6,13-14
201976,59.7,23.7,4.0,3.99,3.75,0.171,0.3,0.1,1.3,13-14
202335,39.3,22.9,0.9,1.36,0.42,0.213,1.8,0.8,3.2,13-14
201988,43.5,19.8,2.6,3.65,3.77,0.234,0.7,0.0,0.7,13-14
2200,69.8,44.2,2.3,1.98,0.66,0.248,9.2,11.4,7.1,13-14
202331,68.3,44.4,3.8,3.35,2.51,0.318,2.4,2.4,2.4,13-14
